intern_id,task_completion_time_hours,feedback_rating,attendance_percentage,tasks_completed,tasks_assigned,performance_score,performance_category
INT-0001,45.66,7.12,79.93,21,21,88.85,Excel
INT-0002,29.52,6.18,78.01,21,21,100.0,Excel
INT-0003,51.01,6.62,87.91,24,25,86.8,Excel
INT-0004,53.29,8.09,86.27,10,11,80.69,Excel
INT-0005,18.59,7.2,71.36,18,18,92.68,Excel
INT-0006,26.37,7.68,94.1,16,17,100.0,Excel
INT-0007,43.53,8.14,83.15,9,9,81.26,Excel
INT-0008,38.21,6.68,74.0,21,23,87.1,Excel
INT-0009,41.8,8.26,94.7,16,17,86.72,Excel
INT-0010,31.76,7.73,89.63,21,23,100.0,Excel
INT-0011,52.55,5.47,72.62,25,28,79.41,Average
INT-0012,51.33,9.22,99.99,15,20,87.73,Excel
INT-0013,42.79,6.5,89.93,15,16,93.46,Excel
INT-0014,55.53,4.88,83.91,15,17,70.06,Average
INT-0015,47.61,5.74,98.31,20,23,93.35,Excel
INT-0016,31.69,5.77,85.43,16,17,87.13,Excel
INT-0017,46.43,7.27,83.75,13,15,92.39,Excel
INT-0018,30.49,6.82,78.06,22,23,98.74,Excel
INT-0019,52.54,6.73,89.24,18,20,81.95,Excel
INT-0020,41.4,8.07,88.29,9,9,85.75,Excel
INT-0021,39.78,7.68,84.13,12,12,92.68,Excel
INT-0022,33.83,7.64,76.89,24,27,95.41,Excel
INT-0023,56.67,7.77,85.17,17,22,83.72,Excel
INT-0024,40.15,8.06,83.37,14,14,97.69,Excel
INT-0025,36.86,4.25,72.0,16,20,74.35,Average
INT-0026,37.77,6.69,70.75,17,20,85.55,Excel
INT-0027,48.39,4.15,89.09,19,19,86.64,Excel
INT-0028,46.39,7.25,60.58,11,15,78.27,Average
INT-0029,46.95,7.19,85.85,13,16,84.19,Excel
INT-0030,47.17,8.66,79.7,17,22,87.89,Excel
INT-0031,67.7,8.86,95.77,14,18,76.88,Average
INT-0032,37.12,7.48,79.56,19,21,87.81,Excel
INT-0033,35.85,6.5,89.94,12,12,91.6,Excel
INT-0034,32.23,7.88,80.43,19,19,96.39,Excel
INT-0035,49.39,6.46,85.02,20,23,86.93,Excel
INT-0036,55.55,7.2,90.63,17,22,89.81,Excel
INT-0037,40.63,8.58,79.84,18,22,87.5,Excel
INT-0038,31.92,6.42,92.97,18,20,94.46,Excel
INT-0039,32.11,8.33,75.06,15,16,94.16,Excel
INT-0040,49.81,8.15,86.65,16,19,85.83,Excel
INT-0041,50.92,5.86,92.3,21,23,94.22,Excel
INT-0042,48.52,8.56,89.94,16,20,95.52,Excel
INT-0043,34.01,8.18,100.0,14,14,100.0,Excel
INT-0044,44.79,7.34,77.13,15,15,94.53,Excel
INT-0045,43.4,6.13,71.59,18,22,75.03,Average
INT-0046,44.62,6.0,75.05,16,18,81.42,Excel
INT-0047,52.46,6.45,89.94,18,20,87.59,Excel
INT-0048,44.68,7.96,88.48,19,23,88.9,Excel
INT-0049,50.15,5.86,84.92,20,25,85.16,Excel
INT-0050,42.81,7.81,73.89,23,23,87.77,Excel
INT-0051,45.47,5.46,90.9,20,23,90.45,Excel
INT-0052,49.58,6.91,72.98,12,14,83.17,Excel
INT-0053,24.51,7.35,94.43,15,16,100.0,Excel
INT-0054,38.16,10.0,100.0,17,21,95.78,Excel
INT-0055,36.36,5.27,87.3,15,17,81.92,Excel
INT-0056,34.33,9.26,89.25,13,15,100.0,Excel
INT-0057,38.7,7.41,79.56,15,17,88.96,Excel
INT-0058,59.94,7.78,67.71,13,19,61.56,Average
INT-0059,31.61,7.37,78.58,15,15,98.14,Excel
INT-0060,53.62,7.82,74.16,15,17,82.57,Excel
INT-0061,21.81,6.98,70.98,24,24,95.14,Excel
INT-0062,37.98,9.24,99.5,18,22,100.0,Excel
INT-0063,43.95,6.56,86.46,25,28,90.09,Excel
INT-0064,49.03,8.79,87.42,17,17,90.56,Excel
INT-0065,50.53,6.3,81.22,15,15,84.02,Excel
INT-0066,51.52,7.12,82.44,16,19,91.86,Excel
INT-0067,37.82,5.7,92.68,18,21,97.73,Excel
INT-0068,36.45,7.84,83.71,19,20,97.35,Excel
INT-0069,52.3,9.22,88.78,24,27,99.54,Excel
INT-0070,39.7,7.09,82.24,14,17,90.75,Excel
INT-0071,26.69,6.92,80.92,21,22,91.92,Excel
INT-0072,28.4,5.64,71.34,19,22,90.57,Excel
INT-0073,30.97,6.88,66.2,12,13,81.18,Excel
INT-0074,47.97,4.97,81.65,19,23,82.07,Excel
INT-0075,43.71,5.92,84.51,22,25,87.63,Excel
INT-0076,50.29,7.52,72.42,13,16,82.14,Excel
INT-0077,36.87,9.05,83.69,17,17,98.78,Excel
INT-0078,43.9,10.0,84.48,10,11,79.05,Average
