intern_id,module_id,rating,completed
INT-0001,M02,5,0
INT-0001,M01,3,0
INT-0001,M05,4,1
INT-0001,M04,3,1
INT-0001,M10,3,1
INT-0001,M09,4,0
INT-0002,M01,3,1
INT-0002,M07,5,1
INT-0002,M04,4,1
INT-0002,M05,3,1
INT-0002,M12,3,0
INT-0002,M15,4,1
INT-0002,M09,3,1
INT-0002,M08,3,1
INT-0002,M11,4,1
INT-0002,M02,4,1
INT-0002,M10,4,1
INT-0003,M14,5,1
INT-0003,M04,3,1
INT-0003,M05,3,1
INT-0003,M13,4,1
INT-0003,M10,3,1
INT-0003,M02,3,1
INT-0003,M01,3,1
INT-0004,M05,4,1
INT-0004,M13,3,1
INT-0004,M11,5,1
INT-0004,M15,4,1
INT-0004,M04,3,0
INT-0005,M04,4,1
INT-0005,M06,2,0
INT-0005,M10,2,0
INT-0005,M02,3,1
INT-0005,M13,3,0
INT-0005,M05,2,1
INT-0006,M14,4,1
INT-0006,M15,4,1
INT-0006,M11,4,1
INT-0006,M05,4,1
INT-0006,M04,3,1
INT-0006,M13,4,1
INT-0006,M06,4,1
INT-0006,M01,3,1
INT-0006,M07,4,1
INT-0006,M03,4,1
INT-0007,M02,4,1
INT-0007,M01,5,1
INT-0007,M14,2,0
INT-0007,M11,4,1
INT-0007,M03,4,1
INT-0008,M09,4,1
INT-0008,M06,4,0
INT-0008,M15,3,1
INT-0008,M14,3,0
INT-0008,M07,3,1
INT-0008,M12,4,1
INT-0008,M02,4,1
INT-0008,M13,3,0
INT-0008,M11,3,0
INT-0008,M08,3,1
INT-0008,M05,4,0
INT-0009,M06,3,1
INT-0009,M13,3,1
INT-0009,M02,3,0
INT-0009,M14,4,1
INT-0009,M08,3,1
INT-0009,M05,3,1
INT-0009,M10,4,1
INT-0009,M15,4,1
INT-0010,M12,3,1
INT-0010,M11,4,1
INT-0010,M14,3,1
INT-0010,M08,3,1
INT-0010,M06,3,0
INT-0010,M02,4,1
INT-0011,M15,2,0
INT-0011,M06,4,1
INT-0011,M07,3,1
INT-0011,M14,3,1
INT-0011,M11,4,1
INT-0011,M04,4,1
INT-0011,M08,3,1
INT-0011,M09,3,1
INT-0011,M10,4,1
INT-0011,M02,4,1
INT-0011,M05,3,0
INT-0012,M11,4,1
INT-0012,M13,4,1
INT-0012,M15,4,1
INT-0012,M12,3,1
INT-0012,M04,4,1
INT-0012,M07,3,0
INT-0012,M01,3,1
INT-0013,M10,4,1
INT-0013,M07,4,1
INT-0013,M15,2,1
INT-0013,M12,3,0
INT-0013,M04,3,0
INT-0013,M02,4,1
INT-0013,M13,2,1
INT-0014,M04,2,0
INT-0014,M08,3,1
INT-0014,M10,3,1
INT-0014,M13,3,1
INT-0014,M14,3,1
INT-0014,M11,3,1
INT-0014,M06,4,1
