intern_id,intern_name,target_role,skills,experience_level,projects_completed
INT001,Intern E,Python Developer Intern,"SQL, Python, Communication",Beginner,4
INT002,Intern E,Web Developer Intern,"HTML, APIs, Communication",Beginner,5
INT003,Intern A,Database Intern,"MySQL, Python, Database",Beginner,5
INT004,Intern C,Web Developer Intern,"JavaScript, CSS, HTML",Beginner,0
INT005,Intern A,Web Developer Intern,"JavaScript, APIs",Intermediate,3
INT006,Intern E,Database Intern,"Python, SQL",Beginner,4
INT007,Intern A,Data Science Intern,"Python, SQL, NumPy, Machine Learning",Beginner,0
INT008,Intern B,Web Developer Intern,"Git, JavaScript, HTML",Intermediate,2
INT009,Intern C,Python Developer Intern,"Pandas, SQL, Python, Git",Intermediate,5
INT010,Intern C,Database Intern,"Database, SQL, Communication",Beginner,2
INT011,Intern D,Python Developer Intern,"SQL, Python",Intermediate,3
INT012,Intern C,Data Science Intern,"Pandas, SQL, NumPy",Intermediate,4
INT013,Intern A,Web Developer Intern,"Git, JavaScript, HTML, APIs",Beginner,0
INT014,Intern E,Data Science Intern,"Pandas, Machine Learning, NumPy, Python",Beginner,4
INT015,Intern C,Machine Learning Intern,"Python, Statistics, Machine Learning, Scikit-learn",Beginner,2
INT016,Intern C,Web Developer Intern,"Git, HTML",Intermediate,1
INT017,Intern B,Database Intern,"Database, Python",Beginner,2
INT018,Intern A,Data Science Intern,"SQL, Python, NumPy, Pandas",Beginner,2
INT019,Intern A,Data Science Intern,"Pandas, Python, Power BI",Intermediate,1
INT020,Intern E,Data Science Intern,"Machine Learning, Pandas, SQL, NumPy",Intermediate,5
INT021,Intern E,Data Science Intern,"NumPy, Machine Learning, SQL, Pandas",Beginner,0
INT022,Intern E,Data Science Intern,"Python, NumPy, Problem Solving",Beginner,0
INT023,Intern A,Python Developer Intern,"Python, Git, SQL, Pandas",Intermediate,1
INT024,Intern E,Machine Learning Intern,"Pandas, Scikit-learn, Machine Learning, Python",Intermediate,3
INT025,Intern C,Data Science Intern,"Machine Learning, Pandas, Python, Power BI",Beginner,3
INT026,Intern A,Web Developer Intern,"HTML, APIs, Git, CSS",Beginner,1
INT027,Intern B,Data Science Intern,"Machine Learning, Pandas, SQL, Python",Beginner,3
INT028,Intern A,Database Intern,"SQL, Database",Beginner,1
INT029,Intern A,Data Science Intern,"Machine Learning, SQL, Python",Beginner,3
INT030,Intern E,Python Developer Intern,"SQL, Pandas, Git",Intermediate,5
INT031,Intern E,Web Developer Intern,"CSS, JavaScript, Communication",Intermediate,4
INT032,Intern E,Python Developer Intern,"SQL, Python, Git, Pandas",Beginner,0
INT033,Intern B,Database Intern,"MySQL, SQL",Beginner,0
INT034,Intern C,Database Intern,"SQL, Database, Excel",Beginner,5
INT035,Intern D,Machine Learning Intern,"Machine Learning, Pandas, Excel",Beginner,0
INT036,Intern B,Python Developer Intern,"Python, Git, SQL",Beginner,0
INT037,Intern C,Data Science Intern,"NumPy, Pandas, Machine Learning",Intermediate,5
INT038,Intern C,Database Intern,"Database, Python, Problem Solving",Beginner,0
INT039,Intern C,Database Intern,"Database, MySQL",Beginner,5
INT040,Intern C,Machine Learning Intern,"Pandas, Machine Learning, Python, Statistics",Beginner,0
INT041,Intern E,Machine Learning Intern,"Machine Learning, Scikit-learn",Intermediate,3
INT042,Intern B,Database Intern,"SQL, Python",Intermediate,0
